code,name,total,date
030000000001,Краснодарский край,17487,2016-06-01
030000000001,Краснодарский край,17099,2016-07-01
030000000001,Краснодарский край,16291,2016-08-01
030000000001,Краснодарский край,15783,2016-09-01
030000000001,Краснодарский край,15109,2016-10-01
030000000001,Краснодарский край,15689,2016-11-01
030000000001,Краснодарский край,16869,2016-12-01
030000000001,Краснодарский край,17077,2017-01-01
030000000001,Краснодарский край,18022,2017-02-01
030000000001,Краснодарский край,17487,2017-03-01
030000000001,Краснодарский край,16666,2017-04-01
030000000001,Краснодарский край,15056,2017-05-01
030000000001,Краснодарский край,14068,2017-06-01
030000000001,Краснодарский край,13691,2017-07-01
030000000001,Краснодарский край,13097,2017-08-01
030000000001,Краснодарский край,12848,2017-09-01
030000000001,Краснодарский край,12365,2017-10-01
030000000001,Краснодарский край,13327,2017-11-01
030000000001,Краснодарский край,15192,2017-12-01
030000000001,Краснодарский край,15457,2018-01-01
030000000001,Краснодарский край,16104,2018-02-01
030000000001,Краснодарский край,15516,2018-03-01
030000000001,Краснодарский край,14856,2018-04-01
030000000001,Краснодарский край,13433,2018-05-01
030000000001,Краснодарский край,12636,2018-06-01
030000000001,Краснодарский край,12328,2018-07-01
030000000001,Краснодарский край,12409,2018-08-01
030000000001,Краснодарский край,12258,2018-09-01
030000000001,Краснодарский край,11877,2018-10-01
030000000001,Краснодарский край,12983,2018-11-01
030000000001,Краснодарский край,14258,2018-12-01
030000000001,Краснодарский край,15708,2019-01-01
030000000001,Краснодарский край,17817,2019-02-01
030000000001,Краснодарский край,18415,2019-03-01
030000000001,Краснодарский край,18909,2019-04-01
030000000001,Краснодарский край,17227,2019-05-01
030000000001,Краснодарский край,16157,2019-06-01
030000000001,Краснодарский край,15569,2019-07-01
030000000001,Краснодарский край,15122,2019-08-01
030000000001,Краснодарский край,14527,2019-09-01
030000000001,Краснодарский край,14032,2019-10-01
030000000001,Краснодарский край,14437,2019-11-01
030000000001,Краснодарский край,15448,2019-12-01
030000000001,Краснодарский край,6345,2020-01-01
030000000001,Краснодарский край,17528,2020-02-01
030000000001,Краснодарский край,17289,2020-03-01
030000000001,Краснодарский край,44480,2020-04-01
030000000001,Краснодарский край,81546,2020-05-01
030000000001,Краснодарский край,114181,2020-06-01
030000000001,Краснодарский край,131579,2020-07-01
030000000001,Краснодарский край,136446,2020-08-01
030000000001,Краснодарский край,128561,2020-09-01
030000000001,Краснодарский край,119447,2020-10-01
030000000001,Краснодарский край,108754,2020-11-01
030000000001,Краснодарский край,102732,2020-12-01
030000000001,Краснодарский край,93282,2021-01-01
030000000001,Краснодарский край,76606,2021-02-01
030000000001,Краснодарский край,61693,2021-03-01
030000000001,Краснодарский край,50669,2021-04-01
030000000001,Краснодарский край,39859,2021-05-01
030000000001,Краснодарский край,30867,2021-06-01
030000000001,Краснодарский край,26881,2021-07-01
030000000001,Краснодарский край,23539,2021-08-01
030000000001,Краснодарский край,20677,2021-09-01
030000000001,Краснодарский край,,2021-10-01
030000000001,Краснодарский край,,2021-11-01
030000000001,Краснодарский край,,2021-12-01
030000000001NA,Краснодарский край,25882,2009-01-01
030000000001NA,Краснодарский край,30317,2009-02-01
030000000001NA,Краснодарский край,31456,2009-03-01
030000000001NA,Краснодарский край,31296,2009-04-01
030000000001NA,Краснодарский край,27924,2009-05-01
030000000001NA,Краснодарский край,24189,2009-06-01
030000000001NA,Краснодарский край,23483,2009-07-01
030000000001NA,Краснодарский край,23086,2009-08-01
030000000001NA,Краснодарский край,22374,2009-09-01
030000000001NA,Краснодарский край,22937,2009-10-01
030000000001NA,Краснодарский край,24545,2009-11-01
030000000001NA,Краснодарский край,28120,2009-12-01
030000000001NA,Краснодарский край,29662,2010-01-01
030000000001NA,Краснодарский край,31350,2010-02-01
030000000001NA,Краснодарский край,30407,2010-03-01
030000000001NA,Краснодарский край,28664,2010-04-01
030000000001NA,Краснодарский край,26235,2010-05-01
030000000001NA,Краснодарский край,23233,2010-06-01
030000000001NA,Краснодарский край,22852,2010-07-01
030000000001NA,Краснодарский край,21522,2010-08-01
030000000001NA,Краснодарский край,20611,2010-09-01
030000000001NA,Краснодарский край,20815,2010-10-01
030000000001NA,Краснодарский край,21900,2010-11-01
030000000001NA,Краснодарский край,25673,2010-12-01
030000000001NA,Краснодарский край,26442,2011-01-01
030000000001NA,Краснодарский край,27859,2011-02-01
030000000001NA,Краснодарский край,27457,2011-03-01
030000000001NA,Краснодарский край,26931,2011-04-01
030000000001NA,Краснодарский край,24949,2011-05-01
030000000001NA,Краснодарский край,22927,2011-06-01
030000000001NA,Краснодарский край,23161,2011-07-01
030000000001NA,Краснодарский край,22772,2011-08-01
030000000001NA,Краснодарский край,22698,2011-09-01
030000000001NA,Краснодарский край,22313,2011-10-01
030000000001NA,Краснодарский край,23003,2011-11-01
030000000001NA,Краснодарский край,25497,2011-12-01
030000000001NA,Краснодарский край,25457,2012-01-01
030000000001NA,Краснодарский край,26488,2012-02-01
030000000001NA,Краснодарский край,25927,2012-03-01
030000000001NA,Краснодарский край,24184,2012-04-01
030000000001NA,Краснодарский край,22064,2012-05-01
030000000001NA,Краснодарский край,20210,2012-06-01
030000000001NA,Краснодарский край,19544,2012-07-01
030000000001NA,Краснодарский край,19131,2012-08-01
030000000001NA,Краснодарский край,18152,2012-09-01
030000000001NA,Краснодарский край,17091,2012-10-01
030000000001NA,Краснодарский край,17811,2012-11-01
030000000001NA,Краснодарский край,20388,2012-12-01
030000000001NA,Краснодарский край,20712,2013-01-01
030000000001NA,Краснодарский край,21405,2013-02-01
030000000001NA,Краснодарский край,21449,2013-03-01
030000000001NA,Краснодарский край,20789,2013-04-01
030000000001NA,Краснодарский край,19205,2013-05-01
030000000001NA,Краснодарский край,17880,2013-06-01
030000000001NA,Краснодарский край,17463,2013-07-01
030000000001NA,Краснодарский край,16945,2013-08-01
030000000001NA,Краснодарский край,16166,2013-09-01
030000000001NA,Краснодарский край,15699,2013-10-01
030000000001NA,Краснодарский край,16524,2013-11-01
030000000001NA,Краснодарский край,18021,2013-12-01
030000000001NA,Краснодарский край,18234,2014-01-01
030000000001NA,Краснодарский край,18747,2014-02-01
030000000001NA,Краснодарский край,18533,2014-03-01
030000000001NA,Краснодарский край,18618,2014-04-01
030000000001NA,Краснодарский край,17435,2014-05-01
030000000001NA,Краснодарский край,16221,2014-06-01
030000000001NA,Краснодарский край,,2014-07-01
030000000001NA,Краснодарский край,,2014-08-01
030000000001NA,Краснодарский край,,2014-09-01
030000000001NA,Краснодарский край,,2014-10-01
030000000001NA,Краснодарский край,,2014-11-01
030000000001NA,Краснодарский край,,2014-12-01
030000000001NA,Краснодарский край,,2015-01-01
030000000001NA,Краснодарский край,,2015-02-01
030000000001NA,Краснодарский край,,2015-03-01
030000000001NA,Краснодарский край,,2015-04-01
030000000001NA,Краснодарский край,,2015-05-01
030000000001NA,Краснодарский край,,2015-06-01
030000000001NA,Краснодарский край,,2015-07-01
030000000001NA,Краснодарский край,,2015-08-01
030000000001NA,Краснодарский край,,2015-09-01
030000000001NA,Краснодарский край,,2015-10-01
030000000001NA,Краснодарский край,,2015-11-01
030000000001NA,Краснодарский край,,2015-12-01
030000000001NA,Краснодарский край,,2016-01-01
030000000001NA,Краснодарский край,,2016-02-01
030000000001NA,Краснодарский край,,2016-03-01
030000000001NA,Краснодарский край,,2016-04-01
030000000001NA,Краснодарский край,,2016-05-01
030000000001NA,Краснодарский край,,2016-06-01
030000000001NA,Краснодарский край,,2016-07-01
030000000001NA,Краснодарский край,,2016-08-01
030000000001NA,Краснодарский край,,2016-09-01
030000000001NA,Краснодарский край,,2016-10-01
030000000001NA,Краснодарский край,,2016-11-01
030000000001NA,Краснодарский край,,2016-12-01
030000000001NA,Краснодарский край,,2017-01-01
030000000001NA,Краснодарский край,,2017-02-01
030000000001NA,Краснодарский край,,2017-03-01
030000000001NA,Краснодарский край,,2017-04-01
030000000001NA,Краснодарский край,,2017-05-01
030000000001NA,Краснодарский край,,2017-06-01
030000000001NA,Краснодарский край,,2017-07-01
030000000001NA,Краснодарский край,,2017-08-01
030000000001NA,Краснодарский край,,2017-09-01
030000000001NA,Краснодарский край,,2017-10-01
030000000001NA,Краснодарский край,,2017-11-01
030000000001NA,Краснодарский край,,2017-12-01
030000000001NA,Краснодарский край,,2018-01-01
030000000001NA,Краснодарский край,,2018-02-01
030000000001NA,Краснодарский край,,2018-03-01
030000000001NA,Краснодарский край,,2018-04-01
030000000001NA,Краснодарский край,,2018-05-01
030000000001NA,Краснодарский край,,2018-06-01
030000000001NA,Краснодарский край,,2018-07-01
030000000001NA,Краснодарский край,,2018-08-01
030000000001NA,Краснодарский край,,2018-09-01
030000000001NA,Краснодарский край,,2018-10-01
030000000001NA,Краснодарский край,,2018-11-01
030000000001NA,Краснодарский край,,2018-12-01
030000000001NA,Краснодарский край,,2019-01-01
030000000001NA,Краснодарский край,,2019-02-01
030000000001NA,Краснодарский край,,2019-03-01
030000000001NA,Краснодарский край,,2019-04-01
030000000001NA,Краснодарский край,,2019-05-01
030000000001NA,Краснодарский край,,2019-06-01
030000000001NA,Краснодарский край,,2019-07-01
030000000001NA,Краснодарский край,,2019-08-01
030000000001NA,Краснодарский край,,2019-09-01
030000000001NA,Краснодарский край,,2019-10-01
030000000001NA,Краснодарский край,,2019-11-01
030000000001NA,Краснодарский край,,2019-12-01
030000000001NA,Краснодарский край,,2020-01-01
030000000001NA,Краснодарский край,,2020-02-01
030000000001NA,Краснодарский край,,2020-03-01
030000000001NA,Краснодарский край,,2020-04-01
030000000001NA,Краснодарский край,,2020-05-01
030000000001NA,Краснодарский край,,2020-06-01
030000000001NA,Краснодарский край,,2020-07-01
030000000001NA,Краснодарский край,,2020-08-01
030000000001NA,Краснодарский край,,2020-09-01
030000000001NA,Краснодарский край,,2020-10-01
030000000001NA,Краснодарский край,,2020-11-01
030000000001NA,Краснодарский край,,2020-12-01
030000000001NA,Краснодарский край,,2021-01-01
030000000001NA,Краснодарский край,,2021-02-01
030000000001NA,Краснодарский край,,2021-03-01
030000000001NA,Краснодарский край,,2021-04-01
030000000001NA,Краснодарский край,,2021-05-01
030000000001NA,Краснодарский край,,2021-06-01
030000000001NA,Краснодарский край,,2021-07-01
030000000001NA,Краснодарский край,,2021-08-01
030000000001NA,Краснодарский край,,2021-09-01
030000000001NA,Краснодарский край,,2021-10-01
030000000001NA,Краснодарский край,,2021-11-01
030000000001NA,Краснодарский край,,2021-12-01
040000000001,Красноярский край,28395,2009-01-01
040000000001,Красноярский край,47827,2009-02-01
040000000001,Красноярский край,50519,2009-03-01
040000000001,Красноярский край,52846,2009-04-01
040000000001,Красноярский край,49598,2009-05-01
040000000001,Красноярский край,45183,2009-06-01
040000000001,Красноярский край,43857,2009-07-01
040000000001,Красноярский край,42870,2009-08-01
040000000001,Красноярский край,38875,2009-09-01
040000000001,Красноярский край,38488,2009-10-01
040000000001,Красноярский край,39434,2009-11-01
040000000001,Красноярский край,43698,2009-12-01
040000000001,Красноярский край,44659,2010-01-01
040000000001,Красноярский край,46113,2010-02-01
040000000001,Красноярский край,43942,2010-03-01
040000000001,Красноярский край,43444,2010-04-01
040000000001,Красноярский край,39923,2010-05-01
040000000001,Красноярский край,37002,2010-06-01
040000000001,Красноярский край,35413,2010-07-01
040000000001,Красноярский край,34205,2010-08-01
040000000001,Красноярский край,32484,2010-09-01
040000000001,Красноярский край,32609,2010-10-01
040000000001,Красноярский край,33703,2010-11-01
040000000001,Красноярский край,34973,2010-12-01
040000000001,Красноярский край,35284,2011-01-01
040000000001,Красноярский край,37358,2011-02-01
040000000001,Красноярский край,36912,2011-03-01
040000000001,Красноярский край,36404,2011-04-01
040000000001,Красноярский край,33626,2011-05-01
040000000001,Красноярский край,31565,2011-06-01
040000000001,Красноярский край,31161,2011-07-01
040000000001,Красноярский край,29708,2011-08-01
040000000001,Красноярский край,27957,2011-09-01
040000000001,Красноярский край,27726,2011-10-01
040000000001,Красноярский край,27783,2011-11-01
040000000001,Красноярский край,30513,2011-12-01
040000000001,Красноярский край,30151,2012-01-01
040000000001,Красноярский край,30837,2012-02-01
040000000001,Красноярский край,29872,2012-03-01
040000000001,Красноярский край,28348,2012-04-01
040000000001,Красноярский край,25790,2012-05-01
040000000001,Красноярский край,24354,2012-06-01
040000000001,Красноярский край,23245,2012-07-01
040000000001,Красноярский край,22885,2012-08-01
040000000001,Красноярский край,21597,2012-09-01
040000000001,Красноярский край,21319,2012-10-01
040000000001,Красноярский край,22591,2012-11-01
040000000001,Красноярский край,24371,2012-12-01
040000000001,Красноярский край,24259,2013-01-01
040000000001,Красноярский край,25188,2013-02-01
040000000001,Красноярский край,25145,2013-03-01
040000000001,Красноярский край,24527,2013-04-01
040000000001,Красноярский край,22298,2013-05-01
040000000001,Красноярский край,20749,2013-06-01
040000000001,Красноярский край,19624,2013-07-01
040000000001,Красноярский край,19490,2013-08-01
040000000001,Красноярский край,17803,2013-09-01
040000000001,Красноярский край,17818,2013-10-01
040000000001,Красноярский край,18794,2013-11-01
040000000001,Красноярский край,20461,2013-12-01
040000000001,Красноярский край,20981,2014-01-01
040000000001,Красноярский край,21749,2014-02-01
040000000001,Красноярский край,21322,2014-03-01
040000000001,Красноярский край,21070,2014-04-01
040000000001,Красноярский край,19967,2014-05-01
040000000001,Красноярский край,19250,2014-06-01
040000000001,Красноярский край,18321,2014-07-01
040000000001,Красноярский край,17968,2014-08-01
040000000001,Красноярский край,16523,2014-09-01
040000000001,Красноярский край,16595,2014-10-01
040000000001,Красноярский край,16885,2014-11-01
040000000001,Красноярский край,18390,2014-12-01
040000000001,Красноярский край,18909,2015-01-01
040000000001,Красноярский край,20808,2015-02-01
040000000001,Красноярский край,21011,2015-03-01
040000000001,Красноярский край,21440,2015-04-01
040000000001,Красноярский край,20809,2015-05-01
040000000001,Красноярский край,20363,2015-06-01
040000000001,Красноярский край,20201,2015-07-01
040000000001,Красноярский край,19550,2015-08-01
040000000001,Красноярский край,18541,2015-09-01
040000000001,Красноярский край,19361,2015-10-01
040000000001,Красноярский край,19943,2015-11-01
040000000001,Красноярский край,20255,2015-12-01
040000000001,Красноярский край,21134,2016-01-01
040000000001,Красноярский край,22519,2016-02-01
040000000001,Красноярский край,22228,2016-03-01
040000000001,Красноярский край,22368,2016-04-01
040000000001,Красноярский край,21170,2016-05-01
040000000001,Красноярский край,20516,2016-06-01
040000000001,Красноярский край,20114,2016-07-01
040000000001,Красноярский край,19207,2016-08-01
040000000001,Красноярский край,18255,2016-09-01
040000000001,Красноярский край,17792,2016-10-01
040000000001,Красноярский край,17287,2016-11-01
040000000001,Красноярский край,17705,2016-12-01
040000000001,Красноярский край,17687,2017-01-01
040000000001,Красноярский край,18141,2017-02-01
040000000001,Красноярский край,17834,2017-03-01
040000000001,Красноярский край,17208,2017-04-01
040000000001,Красноярский край,16105,2017-05-01
040000000001,Красноярский край,16077,2017-06-01
040000000001,Красноярский край,15250,2017-07-01
040000000001,Красноярский край,14479,2017-08-01
040000000001,Красноярский край,13377,2017-09-01
040000000001,Красноярский край,13146,2017-10-01
040000000001,Красноярский край,13492,2017-11-01
040000000001,Красноярский край,14591,2017-12-01
040000000001,Красноярский край,14544,2018-01-01
040000000001,Красноярский край,14718,2018-02-01
040000000001,Красноярский край,14317,2018-03-01
040000000001,Красноярский край,13710,2018-04-01
040000000001,Красноярский край,12939,2018-05-01
040000000001,Красноярский край,13220,2018-06-01
040000000001,Красноярский край,12822,2018-07-01
040000000001,Красноярский край,12647,2018-08-01
040000000001,Красноярский край,11653,2018-09-01
040000000001,Красноярский край,11533,2018-10-01
040000000001,Красноярский край,11987,2018-11-01
040000000001,Красноярский край,12239,2018-12-01
040000000001,Красноярский край,12893,2019-01-01
040000000001,Красноярский край,13944,2019-02-01
040000000001,Красноярский край,14456,2019-03-01
040000000001,Красноярский край,14504,2019-04-01
040000000001,Красноярский край,13599,2019-05-01
040000000001,Красноярский край,13363,2019-06-01
040000000001,Красноярский край,12824,2019-07-01
040000000001,Красноярский край,12441,2019-08-01
040000000001,Красноярский край,11125,2019-09-01
040000000001,Красноярский край,10889,2019-10-01
040000000001,Красноярский край,11652,2019-11-01
040000000001,Красноярский край,12213,2019-12-01
040000000001,Красноярский край,11763,2020-01-01
040000000001,Красноярский край,13263,2020-02-01
040000000001,Красноярский край,12802,2020-03-01
040000000001,Красноярский край,28809,2020-04-01
040000000001,Красноярский край,42210,2020-05-01
040000000001,Красноярский край,55812,2020-06-01
040000000001,Красноярский край,67322,2020-07-01
040000000001,Красноярский край,74039,2020-08-01
040000000001,Красноярский край,72707,2020-09-01
040000000001,Красноярский край,68593,2020-10-01
040000000001,Красноярский край,60203,2020-11-01
040000000001,Красноярский край,52123,2020-12-01
040000000001,Красноярский край,47911,2021-01-01
040000000001,Красноярский край,41640,2021-02-01
040000000001,Красноярский край,20821,2021-03-01
040000000001,Красноярский край,18077,2021-04-01
040000000001,Красноярский край,16655,2021-05-01
040000000001,Красноярский край,15379,2021-06-01
040000000001,Красноярский край,15129,2021-07-01
040000000001,Красноярский край,14659,2021-08-01
040000000001,Красноярский край,12830,2021-09-01
